gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	AC-like	MES-like	NPC-like	OPC-like	macrophage	microglial_cell
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.058	0.074	0.073	0.059	0.052	0.033
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.058	0.074	0.073	0.059	0.052	0.033
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.058	0.074	0.073	0.059	0.052	0.033
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.051	0.043	0.073	0.059	0.027	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.043	0.049	0.073	0.059	0.031	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.043	0.049	0.073	0.059	0.031	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.043	0.049	0.073	0.059	0.031	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.043	0.049	0.073	0.059	0.031	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.043	0.049	0.073	0.059	0.031	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.043	0.049	0.073	0.059	0.031	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.043	0.049	0.073	0.059	0.031	0.02
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.043	0.049	0.073	0.059	0.031	0.02
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.058	0.074	0.073	0.059	0.052	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.058	0.074	0.073	0.059	0.052	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.058	0.074	0.073	0.059	0.052	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.058	0.074	0.073	0.059	0.052	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.109	0.066	0.094	0.079	0.022	0.033
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.1	0.061	0.031	0.057	0.003	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	0.1	0.061	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.051	0.043	0.073	0.059	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.051	0.043	0.089	0.079	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.051	0.043	0.089	0.079	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.051	0.043	0.089	0.079	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.051	0.043	0.089	0.079	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.051	0.043	0.089	0.079	0.027	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0D97B02B1	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0680A24B2	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CC0492F9C60	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A_receptor	CPI-CS096F1E209	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.051	0.043	0.094	0.079	0.022	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.051	0.043	0.031	0.057	0.003	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	NODAL_receptor_IbIIa_TDGF1	CPI-CS060B4E81F	0.0	0.001	0.001	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.043	0.049	0.073	0.059	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0C18A9B16	0.043	0.049	0.089	0.074	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC0CC548F18	0.043	0.049	0.089	0.074	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CC031341B06	0.043	0.049	0.089	0.074	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS08387C315	0.043	0.049	0.089	0.074	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.043	0.049	0.089	0.074	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS00379F820	0.043	0.049	0.089	0.074	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B_receptor	CPI-CS0778FEF01	0.043	0.049	0.089	0.074	0.031	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC099977BFA	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC0BCF8F0E9	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CC065C6CA6D	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B_receptor	CPI-CS09DFE4623	0.002	0.008	0.005	0.004	0.001	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS036BF2AC7	0.043	0.049	0.094	0.074	0.022	0.02
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS03DF8BD36	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS027F8BD7E	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS055E15573	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS089A36491	0.043	0.049	0.031	0.057	0.003	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IbIIb_TDGF1	CPI-CS05AEAC684	0.0	0.001	0.001	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL_receptor_IcIIb_TDGF1	CPI-CS02FBABE5A	0.0	0.001	0.001	0.0	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC041F23977	0.051	0.043	0.089	0.079	0.027	0.022
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC05E2C9AF8	0.051	0.043	0.089	0.079	0.027	0.022
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CC0E6C03753	0.051	0.043	0.089	0.079	0.027	0.022
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS03F19BFCB	0.051	0.043	0.089	0.079	0.027	0.022
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A_receptor	CPI-CS05CAC687A	0.051	0.043	0.089	0.079	0.027	0.022
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC0C18A9B16	0.043	0.049	0.089	0.074	0.031	0.02
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC0CC548F18	0.043	0.049	0.089	0.074	0.031	0.02
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CC031341B06	0.043	0.049	0.089	0.074	0.031	0.02
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS08387C315	0.043	0.049	0.089	0.074	0.031	0.02
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0A79056B0	0.043	0.049	0.089	0.074	0.031	0.02
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS00379F820	0.043	0.049	0.089	0.074	0.031	0.02
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B_receptor	CPI-CS0778FEF01	0.043	0.049	0.089	0.074	0.031	0.02
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIa_TDGF1	CPI-CS060B4E81F	0.0	0.001	0.001	0.0	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL_receptor_IbIIb_TDGF1	CPI-CS05AEAC684	0.0	0.001	0.001	0.0	0.0	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0D97B02B1	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0680A24B2	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CC0492F9C60	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A_receptor	CPI-CS096F1E209	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC099977BFA	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC0BCF8F0E9	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CC065C6CA6D	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B_receptor	CPI-CS09DFE4623	0.002	0.008	0.005	0.004	0.001	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	NODAL_receptor_IcIIb_TDGF1	CPI-CS02FBABE5A	0.0	0.001	0.001	0.0	0.0	0.0
CALCR	P30988	True	CALCR_HUMAN	AMY1_receptor	CPI-CS0575223B3	0.0	0.0	0.0	0.001	0.006	0.005
CALCR	P30988	True	CALCR_HUMAN	AMY2_receptor	CPI-CS04B3DEC8B	0.0	0.0	0.0	0.001	0.006	0.005
CALCR	P30988	True	CALCR_HUMAN	AMY3_receptor	CPI-CS0865396CA	0.0	0.0	0.0	0.001	0.001	0.001
RAMP1	O60894	True	RAMP1_HUMAN	AMY1_receptor	CPI-CS0575223B3	0.0	0.0	0.0	0.001	0.006	0.005
RAMP2	O60895	True	RAMP2_HUMAN	AMY2_receptor	CPI-CS04B3DEC8B	0.0	0.0	0.0	0.001	0.006	0.005
RAMP3	O60896	True	RAMP3_HUMAN	AMY3_receptor	CPI-CS0865396CA	0.0	0.0	0.0	0.001	0.001	0.001
CYP17A1	P05093	True	CP17A_HUMAN	Androstenedione_byCYP17A1	CPI-CS0D5502736	0.0	0.0	0.0	0.0	0.0	0.0
HSD17B6	O14756	True	H17B6_HUMAN	Androsterone_byHSD17B6	CPI-CS019C00E02	0.038	0.018	0.018	0.027	0.005	0.014
BCR	P11274	True	BCR_HUMAN	BCR_CD45_CD22	CPI-CS037C1C02B	0.001	0.002	0.002	0.007	0.015	0.009
PTPRC	P08575	True	PTPRC_HUMAN	BCR_CD45_CD22	CPI-CS037C1C02B	0.001	0.002	0.002	0.007	0.015	0.009
CD22	P20273	True	CD22_HUMAN	BCR_CD45_CD22	CPI-CS037C1C02B	0.001	0.002	0.002	0.007	0.015	0.009
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.109	0.066	0.094	0.079	0.022	0.033
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.109	0.066	0.094	0.079	0.022	0.033
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.109	0.066	0.094	0.079	0.022	0.033
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.109	0.066	0.094	0.079	0.022	0.033
