id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	AC-like|AC-like	AC-like|MES-like	AC-like|NPC-like	AC-like|OPC-like	AC-like|macrophage	AC-like|microglial_cell	MES-like|AC-like	MES-like|MES-like	MES-like|NPC-like	MES-like|OPC-like	MES-like|macrophage	MES-like|microglial_cell	NPC-like|AC-like	NPC-like|MES-like	NPC-like|NPC-like	NPC-like|OPC-like	NPC-like|macrophage	NPC-like|microglial_cell	OPC-like|AC-like	OPC-like|MES-like	OPC-like|NPC-like	OPC-like|OPC-like	OPC-like|macrophage	OPC-like|microglial_cell	macrophage|AC-like	macrophage|MES-like	macrophage|NPC-like	macrophage|OPC-like	macrophage|macrophage	macrophage|microglial_cell	microglial_cell|AC-like	microglial_cell|MES-like	microglial_cell|NPC-like	microglial_cell|OPC-like	microglial_cell|macrophage	microglial_cell|microglial_cell
CPI-CS0C4ABE334	LeukotrieneD4_byGGT1_CYSLTR1	complex:LeukotrieneD4_byGGT1	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.006	0.005	0.005	0.011	0.049	0.047	0.004	0.004	0.004	0.01	0.048	0.046	0.004	0.003	0.003	0.009	0.047	0.045	0.004	0.003	0.004	0.009	0.047	0.046	0.003	0.003	0.003	0.008	0.046	0.045	0.003	0.002	0.002	0.008	0.046	0.044
CPI-CS048E474A5	LeukotrieneE4_byDPEP2_CYSLTR1	complex:LeukotrieneE4_byDPEP2	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.002	0.002	0.002	0.007	0.045	0.044	0.002	0.002	0.002	0.007	0.045	0.044	0.002	0.002	0.002	0.007	0.045	0.044	0.003	0.003	0.003	0.009	0.047	0.045	0.043	0.042	0.043	0.048	0.086	0.085	0.025	0.024	0.025	0.03	0.068	0.066
CPI-CS0C89AD6A7	LeukotrieneE4_byDPEP3_CYSLTR1	complex:LeukotrieneE4_byDPEP3	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.002	0.001	0.002	0.007	0.045	0.043	0.002	0.001	0.002	0.007	0.045	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.009	0.009	0.014	0.052	0.051	0.007	0.006	0.007	0.012	0.05	0.049
CPI-CS0C1CAC8F7	LipoxinA4_byALOX12_CYSLTR1	complex:LipoxinA4_byALOX12	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.002	0.001	0.002	0.007	0.045	0.043	0.002	0.001	0.002	0.007	0.045	0.043	0.002	0.001	0.002	0.007	0.045	0.043	0.002	0.001	0.002	0.007	0.045	0.044	0.002	0.001	0.002	0.007	0.045	0.043	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS087E1C654	LipoxinA4_byALOX5_CYSLTR1	complex:LipoxinA4_byALOX5	simple:Q9Y271		ENSG00000173198	True	False	True	curated	False	0.005	0.005	0.005	0.01	0.048	0.047	0.005	0.004	0.004	0.01	0.048	0.046	0.005	0.004	0.005	0.01	0.048	0.046	0.007	0.007	0.007	0.012	0.05	0.049	0.197	0.196	0.197	0.202	0.24	0.238	0.188	0.187	0.188	0.193	0.231	0.23
CPI-CS08D535BCF	22Hydroxycholesterol_byCYP11A1_NR1H4	complex:22Hydroxycholesterol_byCYP11A1	simple:Q96RI1		ENSG00000012504	True	False	True	curated	False	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS01C347639	22Hydroxycholesterol_byCYP3A4_NR1H4	complex:22Hydroxycholesterol_byCYP3A4	simple:Q96RI1		ENSG00000012504	True	False	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1		ENSG00000012504	True	False	True	curated	False	0.019	0.019	0.02	0.019	0.0	0.019	0.009	0.009	0.01	0.009	0.0	0.009	0.009	0.009	0.01	0.009	0.0	0.009	0.014	0.014	0.014	0.014	0.0	0.014	0.003	0.002	0.003	0.002	0.0	0.002	0.007	0.007	0.008	0.007	0.0	0.007
CPI-CS03629A52A	2arachidonoylglycerol_byDAGLA_CNR1	complex:2arachidonoylglycerol_byDAGLA	simple:P21554		ENSG00000118432	True	False	True	curated	False	0.201	0.179	0.051	0.082	0.021	0.02	0.192	0.17	0.042	0.073	0.012	0.011	0.201	0.179	0.05	0.081	0.021	0.02	0.197	0.175	0.047	0.078	0.018	0.016	0.186	0.164	0.036	0.067	0.006	0.005	0.185	0.163	0.034	0.065	0.005	0.004
CPI-CS007D418BE	2arachidonoylglycerol_byDAGLB_CNR1	complex:2arachidonoylglycerol_byDAGLB	simple:P21554		ENSG00000118432	True	False	True	curated	False	0.211	0.189	0.061	0.092	0.031	0.03	0.211	0.189	0.061	0.092	0.031	0.03	0.216	0.194	0.066	0.097	0.036	0.035	0.222	0.2	0.072	0.103	0.043	0.041	0.262	0.24	0.112	0.142	0.082	0.081	0.288	0.266	0.138	0.169	0.108	0.107
CPI-CS045C37E64	2arachidonoylglycerol_byDAGLA_GPR55	complex:2arachidonoylglycerol_byDAGLA	simple:Q9Y2T6		ENSG00000135898	True	False	True	curated	False	0.019	0.02	0.019	0.019	0.02	0.019	0.01	0.011	0.01	0.01	0.011	0.01	0.018	0.02	0.018	0.018	0.019	0.019	0.015	0.016	0.015	0.015	0.016	0.015	0.004	0.005	0.004	0.004	0.005	0.004	0.002	0.004	0.002	0.002	0.003	0.003
CPI-CS01F7D06F1	2arachidonoylglycerol_byDAGLB_GPR55	complex:2arachidonoylglycerol_byDAGLB	simple:Q9Y2T6		ENSG00000135898	True	False	True	curated	False	0.029	0.03	0.029	0.029	0.03	0.029	0.029	0.03	0.029	0.029	0.03	0.029	0.034	0.035	0.034	0.034	0.035	0.034	0.04	0.041	0.04	0.04	0.041	0.041	0.079	0.081	0.079	0.08	0.08	0.08	0.106	0.107	0.106	0.106	0.107	0.106
CPI-SS0795802F6	CCL4_SLC7A1	simple:P13236	simple:P30825	ENSG00000275302	ENSG00000139514	True	False	True	IMEx,IntAct	False	0.17	0.178	0.198	0.176	0.136	0.132	0.099	0.107	0.126	0.104	0.065	0.061	0.205	0.213	0.233	0.211	0.171	0.167	0.259	0.267	0.287	0.265	0.225	0.221	1.162	1.17	1.189	1.167	1.128	1.124	1.283	1.291	1.311	1.289	1.249	1.245
CPI-SS03105D292	CSF1_SLC7A1	simple:P09603	simple:P30825	ENSG00000184371	ENSG00000139514	True	False	True	I2D	False	0.119	0.126	0.146	0.124	0.085	0.08	0.184	0.191	0.211	0.189	0.15	0.145	0.074	0.082	0.101	0.079	0.04	0.035	0.104	0.111	0.131	0.109	0.069	0.065	0.069	0.077	0.096	0.074	0.035	0.03	0.109	0.117	0.136	0.114	0.075	0.071
CPI-SS0D1D95883	CCL4_CCR5	simple:P13236	simple:P51681	ENSG00000275302	ENSG00000160791	True	False	True	curated	False	0.119	0.118	0.118	0.124	0.157	0.148	0.048	0.047	0.046	0.053	0.085	0.077	0.154	0.153	0.152	0.159	0.192	0.183	0.208	0.207	0.207	0.213	0.246	0.237	1.111	1.11	1.109	1.116	1.148	1.14	1.232	1.231	1.231	1.237	1.27	1.261
CPI-SS0B01D306C	CCL5_CCR5	simple:P13501	simple:P51681	ENSG00000271503	ENSG00000160791	True	False	True	curated	False	0.011	0.009	0.009	0.016	0.048	0.04	0.01	0.009	0.009	0.015	0.048	0.04	0.006	0.005	0.004	0.011	0.044	0.035	0.016	0.014	0.014	0.021	0.053	0.045	0.13	0.129	0.129	0.135	0.168	0.159	0.122	0.121	0.12	0.127	0.159	0.151
CPI-SS0A021DB6E	CCL5_CCR1	simple:P13501	simple:P32246	ENSG00000271503	ENSG00000163823	True	False	True	curated	False	0.017	0.017	0.011	0.035	0.204	0.249	0.017	0.017	0.011	0.035	0.204	0.249	0.012	0.012	0.006	0.03	0.199	0.244	0.022	0.022	0.016	0.04	0.209	0.254	0.136	0.136	0.131	0.154	0.324	0.369	0.128	0.128	0.122	0.146	0.315	0.36
CPI-SS0E1735D13	CCL3L1_CCR1	simple:CCL3L1	simple:P32246	ENSG00000276085	ENSG00000163823	True	False	True	curated	False	0.036	0.036	0.031	0.054	0.223	0.268	0.014	0.014	0.008	0.032	0.201	0.246	0.096	0.096	0.091	0.114	0.284	0.328	0.13	0.13	0.124	0.148	0.317	0.362	0.723	0.722	0.717	0.74	0.91	0.955	0.826	0.826	0.821	0.844	1.014	1.058
CPI-SS0817CE2B3	CCL3L1_CCR1	simple:P16619	simple:P32246	ENSG00000276085	ENSG00000163823	True	False	True	I2D,InnateDB-All	False	0.036	0.036	0.031	0.054	0.223	0.268	0.014	0.014	0.008	0.032	0.201	0.246	0.096	0.096	0.091	0.114	0.284	0.328	0.13	0.13	0.124	0.148	0.317	0.362	0.723	0.722	0.717	0.74	0.91	0.955	0.826	0.826	0.821	0.844	1.014	1.058
CPI-CS0B6CBE509	Histamine_byHDC_HRH4	complex:Histamine_byHDC	simple:Q9H3N8		ENSG00000134489	True	False	True	curated	False	0.008	0.008	0.008	0.008	0.007	0.007	0.001	0.001	0.001	0.001	0.0	0.0	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.0
CPI-SS0CF0E4DE9	CCL2_CCR2	simple:P13500	simple:P41597	ENSG00000108691	ENSG00000121807	True	False	True	curated	False	0.13	0.13	0.0	0.134	0.144	0.132	0.187	0.186	0.0	0.19	0.2	0.188	0.023	0.023	0.0	0.027	0.037	0.025	0.061	0.061	0.0	0.065	0.075	0.063	0.335	0.334	0.0	0.338	0.348	0.336	0.383	0.382	0.0	0.386	0.396	0.385
CPI-SC03E67206C	SPP1_integrin_aVb3_complex	simple:P10451	complex:integrin_aVb3_complex	ENSG00000118785		True	False	False	curated	True	0.484	0.486	0.484	0.484	0.487	0.485	0.638	0.641	0.639	0.639	0.642	0.64	0.364	0.367	0.364	0.364	0.368	0.366	0.718	0.721	0.718	0.719	0.722	0.72	2.025	2.028	2.025	2.025	2.028	2.026	2.4	2.403	2.401	2.401	2.404	2.402
CPI-SC06D7BD0F6	FN1_integrin_aVb3_complex	simple:P02751	complex:integrin_aVb3_complex	ENSG00000115414		True	False	False	curated	True	0.098	0.1	0.098	0.098	0.101	0.099	0.249	0.252	0.249	0.249	0.253	0.251	0.029	0.032	0.029	0.029	0.032	0.031	0.114	0.117	0.114	0.114	0.117	0.115	0.235	0.237	0.235	0.235	0.238	0.236	0.038	0.04	0.038	0.038	0.041	0.039
CPI-SC07763D025	LAMC1_integrin_aVb3_complex	simple:P11047	complex:integrin_aVb3_complex	ENSG00000135862		True	False	False	curated	True	0.093	0.096	0.094	0.094	0.097	0.095	0.099	0.102	0.099	0.099	0.102	0.101	0.049	0.052	0.049	0.049	0.052	0.051	0.078	0.081	0.078	0.078	0.081	0.079	0.018	0.021	0.018	0.018	0.021	0.019	0.003	0.006	0.004	0.004	0.007	0.005
CPI-SC045FE8A01	VTN_integrin_aVb3_complex	simple:P04004	complex:integrin_aVb3_complex	ENSG00000109072		True	False	False	curated	True	0.002	0.005	0.002	0.002	0.005	0.003	0.002	0.005	0.002	0.002	0.005	0.004	0.002	0.005	0.002	0.002	0.005	0.003	0.002	0.005	0.002	0.003	0.006	0.004	0.002	0.005	0.002	0.002	0.005	0.003	0.002	0.005	0.002	0.002	0.005	0.004
CPI-SC02EA03F82	THBS1_integrin_aVb3_complex	simple:P07996	complex:integrin_aVb3_complex	ENSG00000137801		False	False	False	curated	True	0.022	0.025	0.022	0.022	0.025	0.023	0.025	0.027	0.025	0.025	0.028	0.026	0.005	0.008	0.005	0.006	0.009	0.007	0.078	0.081	0.078	0.078	0.081	0.08	0.126	0.129	0.127	0.127	0.13	0.128	0.012	0.015	0.012	0.013	0.016	0.014
CPI-SC0FCA446B5	L1CAM_integrin_aVb3_complex	simple:P32004	complex:integrin_aVb3_complex	ENSG00000198910		False	False	False	curated	True	0.003	0.006	0.004	0.004	0.007	0.005	0.01	0.012	0.01	0.01	0.013	0.011	0.028	0.03	0.028	0.028	0.031	0.029	0.03	0.033	0.03	0.03	0.033	0.032	0.004	0.007	0.004	0.004	0.007	0.005	0.002	0.004	0.002	0.002	0.005	0.003
CPI-SC0A5BCC92E	FCER2_integrin_aVb3_complex	simple:P06734	complex:integrin_aVb3_complex	ENSG00000104921		True	True	False	curated	True	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.004	0.002	0.002	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.005	0.002	0.002	0.005	0.003	0.002	0.004	0.002	0.002	0.005	0.003
CPI-SC0F72E9E4E	FGF2_integrin_aVb3_complex	simple:P09038	complex:integrin_aVb3_complex	ENSG00000138685		True	False	False	curated	True	0.064	0.067	0.064	0.064	0.067	0.065	0.07	0.073	0.07	0.07	0.073	0.071	0.037	0.04	0.037	0.037	0.04	0.038	0.04	0.043	0.04	0.04	0.043	0.041	0.005	0.008	0.005	0.005	0.008	0.006	0.003	0.005	0.003	0.003	0.006	0.004
CPI-SC0FB36427B	FGF1_integrin_aVb3_complex	simple:P05230	complex:integrin_aVb3_complex	ENSG00000113578		True	False	False	curated	True	0.072	0.075	0.072	0.073	0.076	0.074	0.044	0.047	0.044	0.044	0.047	0.046	0.02	0.022	0.02	0.02	0.023	0.021	0.04	0.043	0.04	0.04	0.043	0.042	0.018	0.021	0.018	0.018	0.021	0.019	0.005	0.008	0.006	0.006	0.009	0.007
CPI-SC0F0AC498A	THY1_integrin_aVb3_complex	simple:P04216	complex:integrin_aVb3_complex	ENSG00000154096		False	False	False	curated	True	0.236	0.239	0.236	0.236	0.239	0.237	0.165	0.168	0.165	0.165	0.168	0.166	0.368	0.371	0.368	0.368	0.371	0.369	0.414	0.416	0.414	0.414	0.417	0.415	0.016	0.019	0.016	0.016	0.019	0.018	0.007	0.009	0.007	0.007	0.01	0.008
CPI-SC060FE7871	VWF_integrin_aVb3_complex	simple:P04275	complex:integrin_aVb3_complex	ENSG00000110799		True	False	False	curated	True	0.004	0.007	0.004	0.004	0.007	0.005	0.003	0.006	0.003	0.004	0.007	0.005	0.006	0.009	0.006	0.006	0.009	0.007	0.006	0.009	0.006	0.007	0.01	0.008	0.007	0.009	0.007	0.007	0.01	0.008	0.002	0.005	0.003	0.003	0.006	0.004
CPI-SC0D3D23FAA	IGF1_integrin_aVb3_complex	simple:P05019	complex:integrin_aVb3_complex	ENSG00000017427		True	False	False	curated	True	0.006	0.008	0.006	0.006	0.009	0.007	0.004	0.007	0.004	0.004	0.007	0.006	0.006	0.009	0.007	0.007	0.01	0.008	0.012	0.014	0.012	0.012	0.015	0.013	0.105	0.108	0.106	0.106	0.109	0.107	0.147	0.15	0.147	0.147	0.151	0.149
CPI-SC0A6D5D2B1	MMP2_integrin_aVb3_complex	simple:P08253	complex:integrin_aVb3_complex	ENSG00000087245		True	False	False	curated	True	0.186	0.189	0.186	0.186	0.19	0.188	0.075	0.077	0.075	0.075	0.078	0.076	0.117	0.119	0.117	0.117	0.12	0.118	0.195	0.198	0.195	0.195	0.198	0.197	0.148	0.151	0.148	0.148	0.151	0.149	0.117	0.12	0.117	0.117	0.12	0.118
CPI-SC021D4420C	TNC_integrin_aVb3_complex	simple:P24821	complex:integrin_aVb3_complex	ENSG00000041982		True	False	False	curated	True	0.265	0.267	0.265	0.265	0.268	0.266	0.339	0.342	0.339	0.339	0.342	0.34	0.077	0.079	0.077	0.077	0.08	0.078	0.173	0.176	0.173	0.173	0.176	0.175	0.017	0.02	0.017	0.018	0.021	0.019	0.005	0.008	0.005	0.005	0.008	0.006
CPI-SC0C4FD0754	PLAUR_integrin_aVb3_complex	simple:Q03405	complex:integrin_aVb3_complex	ENSG00000011422		True	True	False	curated	True	0.032	0.035	0.032	0.033	0.036	0.034	0.086	0.088	0.086	0.086	0.089	0.087	0.026	0.029	0.026	0.027	0.03	0.028	0.055	0.057	0.055	0.055	0.058	0.056	0.66	0.663	0.66	0.661	0.664	0.662	0.512	0.515	0.513	0.513	0.516	0.514
CPI-SC042AD06C6	OMD_integrin_aVb3_complex	simple:Q99983	complex:integrin_aVb3_complex	ENSG00000127083		True	False	False	curated	True	0.002	0.005	0.002	0.002	0.005	0.003	0.002	0.005	0.002	0.002	0.005	0.003	0.002	0.004	0.002	0.002	0.005	0.003	0.002	0.005	0.002	0.002	0.005	0.003	0.002	0.005	0.002	0.002	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0C81483EA	SPP1_integrin_a4b1_complex	simple:P10451	complex:integrin_a4b1_complex	ENSG00000118785		True	False	False	curated	True	0.489	0.488	0.488	0.501	0.582	0.509	0.644	0.643	0.643	0.656	0.737	0.664	0.37	0.368	0.368	0.382	0.463	0.389	0.724	0.722	0.722	0.736	0.817	0.743	2.031	2.029	2.029	2.042	2.124	2.05	2.406	2.404	2.404	2.418	2.499	2.425
CPI-SC0F96CE387	FN1_integrin_a4b1_complex	simple:P02751	complex:integrin_a4b1_complex	ENSG00000115414		True	False	False	curated	True	0.104	0.102	0.102	0.115	0.196	0.123	0.255	0.253	0.253	0.267	0.348	0.274	0.035	0.033	0.033	0.047	0.128	0.054	0.12	0.118	0.118	0.131	0.212	0.139	0.241	0.239	0.239	0.252	0.333	0.26	0.044	0.042	0.042	0.055	0.136	0.063
CPI-SC00B50273B	TNC_integrin_a4b1_complex	simple:P24821	complex:integrin_a4b1_complex	ENSG00000041982		True	False	False	curated	True	0.271	0.269	0.269	0.282	0.363	0.29	0.345	0.343	0.343	0.356	0.437	0.364	0.083	0.081	0.081	0.094	0.175	0.102	0.179	0.177	0.177	0.191	0.272	0.198	0.023	0.021	0.021	0.035	0.116	0.042	0.011	0.009	0.009	0.022	0.103	0.03
CPI-SC0E029AB31	PLAUR_integrin_a4b1_complex	simple:Q03405	complex:integrin_a4b1_complex	ENSG00000011422		True	True	False	curated	True	0.038	0.036	0.036	0.05	0.131	0.057	0.092	0.09	0.09	0.103	0.184	0.111	0.032	0.03	0.03	0.044	0.125	0.051	0.061	0.059	0.059	0.072	0.153	0.08	0.666	0.664	0.664	0.678	0.759	0.685	0.518	0.516	0.516	0.53	0.611	0.537
CPI-SC09A33C92E	PLA2G2A_integrin_a4b1_complex	simple:P14555	complex:integrin_a4b1_complex	ENSG00000188257		True	False	False	curated	True	0.031	0.029	0.029	0.043	0.124	0.05	0.081	0.079	0.079	0.092	0.173	0.1	0.008	0.006	0.006	0.02	0.101	0.027	0.013	0.011	0.011	0.025	0.106	0.032	0.012	0.01	0.01	0.024	0.105	0.031	0.008	0.006	0.006	0.02	0.101	0.027
CPI-SC0B2557C9D	VCAM1_integrin_a4b1_complex	simple:P19320	complex:integrin_a4b1_complex	ENSG00000162692		False	False	False	curated	True	0.038	0.036	0.036	0.049	0.13	0.057	0.093	0.091	0.091	0.104	0.185	0.112	0.008	0.006	0.006	0.02	0.101	0.027	0.027	0.025	0.025	0.039	0.12	0.046	0.01	0.008	0.008	0.022	0.103	0.029	0.008	0.006	0.006	0.02	0.101	0.027
CPI-SC0C2126F8E	JAM2_integrin_a4b1_complex	simple:P57087	complex:integrin_a4b1_complex	ENSG00000154721		False	False	False	curated	True	0.211	0.209	0.209	0.223	0.304	0.23	0.181	0.179	0.179	0.193	0.274	0.2	0.124	0.122	0.122	0.135	0.216	0.143	0.196	0.194	0.194	0.207	0.288	0.215	0.053	0.051	0.051	0.065	0.146	0.072	0.077	0.075	0.075	0.088	0.17	0.096
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	ENSG00000118785	ENSG00000026508	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.758	0.964	0.504	0.632	0.816	0.555	0.913	1.119	0.659	0.787	0.971	0.71	0.639	0.845	0.384	0.512	0.697	0.435	0.993	1.199	0.738	0.866	1.051	0.79	2.3	2.506	2.045	2.173	2.358	2.096	2.675	2.881	2.421	2.548	2.733	2.472
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	ENSG00000168961	ENSG00000026508	True	False	True	InnateDB	False	0.287	0.493	0.033	0.161	0.345	0.084	0.286	0.492	0.032	0.16	0.344	0.083	0.289	0.495	0.034	0.162	0.347	0.085	0.297	0.503	0.043	0.171	0.355	0.094	0.699	0.906	0.445	0.573	0.758	0.496	0.777	0.983	0.523	0.651	0.835	0.574
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	ENSG00000138685	ENSG00000026508	True	False	True	I2D,InnateDB-All	False	0.338	0.545	0.084	0.212	0.397	0.135	0.345	0.551	0.09	0.218	0.403	0.141	0.312	0.518	0.057	0.185	0.37	0.108	0.315	0.521	0.06	0.188	0.373	0.111	0.28	0.486	0.025	0.153	0.338	0.076	0.277	0.483	0.023	0.151	0.335	0.074
CPI-SS014C07723	TYROBP_CD44	simple:O43914	simple:P16070	ENSG00000011600	ENSG00000026508	False	False	True	curated	False	0.331	0.537	0.076	0.204	0.389	0.127	0.332	0.538	0.077	0.205	0.39	0.129	0.33	0.536	0.076	0.204	0.389	0.127	0.383	0.589	0.129	0.257	0.441	0.18	1.832	2.038	1.577	1.705	1.89	1.628	1.821	2.027	1.567	1.695	1.88	1.618
